LoiGiaiID,improvedParam,preservedParam,principleId,priority
1,1,2,3,0
2,1,2,19,0
3,1,2,40,0
4,1,2,35,0
5,1,2,1,0
6,1,2,26,0
7,1,2,2,0
8,1,3,17,0
9,1,3,15,0
10,1,3,28,0
11,1,3,8,0
12,1,3,35,0
13,1,3,34,0
14,1,3,29,0
15,1,3,30,0
16,1,3,40,0
17,1,4,15,0
18,1,4,28,0
19,1,4,17,0
20,1,4,12,0
21,1,4,35,0
22,1,4,30,0
23,1,4,29,0
24,1,5,28,0
25,1,5,17,0
26,1,5,31,0
27,1,5,29,0
28,1,5,1,0
29,1,5,35,0
30,1,5,4,0
31,1,6,17,0
32,1,6,28,0
33,1,6,1,0
34,1,6,29,0
35,1,6,35,0
36,1,6,15,0
37,1,6,31,0
38,1,6,4,0
39,1,7,28,0
40,1,7,7,0
41,1,7,29,0
42,1,7,40,0
43,1,7,31,0
44,1,7,35,0
45,1,7,2,0
46,1,8,40,0
47,1,8,35,0
48,1,8,2,0
49,1,8,31,0
50,1,8,7,0
51,1,8,4,0
52,1,9,3,0
53,1,9,35,0
54,1,9,14,0
55,1,9,17,0
56,1,9,4,0
57,1,9,7,0
58,1,10,31,0
59,1,10,28,0
60,1,10,3,0
61,1,10,7,0
62,1,10,26,0
63,1,10,2,0
64,1,10,5,0
65,1,10,40,0
66,1,11,2,0
67,1,11,5,0
68,1,11,7,0
69,1,11,4,0
70,1,11,10,0
71,1,11,23,0
72,1,11,34,0
73,1,12,10,0
74,1,12,5,0
75,1,12,34,0
76,1,12,16,0
77,1,12,19,0
78,1,12,2,0
79,1,13,10,0
80,1,13,5,0
81,1,13,28,0
82,1,13,35,0
83,1,13,16,0
84,1,13,2,0
85,1,14,15,0
86,1,14,2,0
87,1,14,25,0
88,1,14,19,0
89,1,14,38,0
90,1,14,18,0
91,1,15,10,0
92,1,15,30,0
93,1,15,8,0
94,1,15,35,0
95,1,15,28,0
96,1,15,37,0
97,1,15,18,0
98,1,16,35,0
99,1,16,10,0
100,1,16,19,0
101,1,16,3,0
102,1,16,12,0
103,1,16,31,0
104,1,16,34,0
105,1,17,35,0
106,1,17,15,0
107,1,17,1,0
108,1,17,28,0
109,1,17,7,0
110,1,17,14,0
111,1,17,34,0
112,1,17,39,0
113,1,18,19,0
114,1,18,30,0
115,1,18,36,0
116,1,18,31,0
117,1,18,12,0
118,1,18,18,0
119,1,18,25,0
120,1,18,14,0
121,1,18,1,0
122,1,19,10,0
123,1,19,40,0
124,1,19,30,0
125,1,19,36,0
126,1,19,37,0
127,1,19,31,0
128,1,19,12,0
129,1,19,4,0
130,1,19,3,0
131,1,20,28,0
132,1,20,31,0
133,1,20,40,0
134,1,20,35,0
135,1,20,30,0
136,1,20,10,0
137,1,20,18,0
138,1,20,4,0
139,1,20,14,0
140,1,21,35,0
141,1,21,1,0
142,1,21,30,0
143,1,21,39,0
144,1,21,29,0
145,1,21,21,0
146,1,21,7,0
147,1,21,19,0
148,1,21,12,0
149,1,22,2,0
150,1,22,40,0
151,1,22,31,0
152,1,22,36,0
153,1,22,6,0
154,1,22,29,0
155,1,22,4,0
156,1,22,38,0
157,1,22,32,0
158,1,23,1,0
159,1,23,35,0
160,1,23,32,0
161,1,23,38,0
162,1,23,13,0
163,1,23,19,0
164,1,23,23,0
165,1,24,1,0
166,1,24,28,0
167,1,24,3,0
168,1,24,35,0
169,1,24,25,0
170,1,24,2,0
171,1,25,5,0
172,1,25,35,0
173,1,25,31,0
174,1,25,24,0
175,1,25,3,0
176,1,25,4,0
177,1,25,7,0
178,1,25,40,0
179,1,26,10,0
180,1,26,19,0
181,1,26,28,0
182,1,26,20,0
183,1,26,35,0
184,1,26,1,0
185,1,26,2,0
186,1,26,3,0
187,1,26,16,0
188,1,27,19,0
189,1,27,3,0
190,1,27,10,0
191,1,27,12,0
192,1,27,2,0
193,1,27,13,0
194,1,27,6,0
195,1,27,34,0
196,1,28,10,0
197,1,28,24,0
198,1,28,23,0
199,1,28,25,0
200,1,28,11,0
201,1,28,35,0
202,1,29,35,0
203,1,29,2,0
204,1,29,25,0
205,1,29,13,0
206,1,29,5,0
207,1,29,3,0
208,1,29,18,0
209,1,29,39,0
210,1,29,14,0
211,1,30,2,0
212,1,30,30,0
213,1,30,39,0
214,1,30,25,0
215,1,30,10,0
216,1,30,21,0
217,1,30,31,0
218,1,30,35,0
219,1,30,27,0
220,1,31,2,0
221,1,31,35,0
222,1,31,10,0
223,1,31,31,0
224,1,31,3,0
225,1,31,39,0
226,1,31,24,0
227,1,31,22,0
228,1,31,27,0
229,1,32,29,0
230,1,32,28,0
231,1,32,15,0
232,1,32,12,0
233,1,32,5,0
234,1,32,2,0
235,1,32,7,0
236,1,32,34,0
237,1,33,10,0
238,1,33,15,0
239,1,33,13,0
240,1,33,24,0
241,1,33,25,0
242,1,33,5,0
243,1,33,4,0
244,1,33,28,0
245,1,33,26,0
246,1,34,2,0
247,1,34,15,0
248,1,34,3,0
249,1,34,11,0
250,1,34,25,0
251,1,34,23,0
252,1,34,35,0
253,1,34,24,0
254,1,34,1,0
255,1,35,3,0
256,1,35,17,0
257,1,35,1,0
258,1,35,35,0
259,1,35,14,0
260,1,35,27,0
261,1,35,4,0
262,1,35,4,0
263,1,35,11,0
264,1,35,31,0
265,1,36,2,0
266,1,36,28,0
267,1,36,17,0
268,1,36,3,0
269,1,36,27,0
270,1,36,30,0
271,1,36,33,0
272,1,36,11,0
